league_id,season_id,league_season_url,league_season_name
323,15140,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=15140,Summer 2016
323,14459,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=14459,All-Star Game 2015
323,13736,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=13736,Summer 2015
323,14660,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=14660,Playoffs 2015
323,12700,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=12700,All-Star Game 2014
323,11912,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=11912,Summer 2014
323,12701,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=12701,Playoffs 2014
323,11493,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=11493,Playoffs 2013
323,11198,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=11198,All-Star Game 2013
323,10735,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=10735,Summer 2013
323,9602,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=9602,Playoffs 2012
323,9281,http://mll.stats.pointstreak.com/scoreboard.html?leagueid=323&seasonid=9281,All-Star Game 2012
323,8519,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=8519,Summer 2012
323,7805,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=7805,Playoffs 2011
323,7534,http://mll.stats.pointstreak.com/scoreboard.html?leagueid=323&seasonid=7534,All-Star Game 2011
323,6756,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=6756,Summer 2011
323,6129,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=6129,Playoffs 2010
323,5847,http://mll.stats.pointstreak.com/scoreboard.html?leagueid=323&seasonid=5847,All-Star Game 2010
323,5810,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=5810,WMLC 2010
323,5244,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=5244,Summer 2010
323,4634,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=4634,Playoffs 2009
323,4479,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=4479,All-Star Game 2009
323,3806,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=3806,Summer 2009
323,3267,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=3267,Playoffs 2008
323,3044,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=3044,All-Star Game 2008
323,2980,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=2980,WMLC 2008
323,2483,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=2483,Summer 2008
323,2162,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=2162,Playoffs 2007
323,2034,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=2034,All-Star Game 2007
323,1552,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=1552,Summer 2007
323,1403,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=1403,Playoffs 2006
323,1279,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=1279,All-Star Games 2006
323,1237,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=1237,Summer 2006
323,1617,http://mll.stats.pointstreak.com/leagueschedule.html?leagueid=323&seasonid=1617,Playoffs 2005
323,1510,http://mll.stats.pointstreak.com/scoreboard.html?leagueid=323&seasonid=1510,All-Star Game 2005
